Folder,Filename,File_Size_Bytes,Primary_Error,Additional_Issues_Count,Additional_Issues
1,en.13.1.132.2009.5.31,2431,"ParseError: not well-formed (invalid token): line 5, column 562",1,Possible unescaped special characters
1,en.13.1.415.2009.6.2,1713,"ParseError: not well-formed (invalid token): line 5, column 1188",1,Possible unescaped special characters
1,en.13.1.391.2009.5.31,5450,"ParseError: not well-formed (invalid token): line 3, column 27",2,Unclosed tags: 7 open vs 6 closed | Possible unescaped special characters
1,en.13.1.366.2009.6.2,1915,"ParseError: not well-formed (invalid token): line 5, column 489",1,Possible unescaped special characters
1,en.13.1.142.2009.6.1,2266,"ParseError: not well-formed (invalid token): line 5, column 1627",1,Possible unescaped special characters
1,en.13.1.408.2009.5.30,1047,"ParseError: not well-formed (invalid token): line 5, column 176",1,Possible unescaped special characters
1,en.13.1.333.2009.6.1,608,"ParseError: not well-formed (invalid token): line 5, column 346",1,Possible unescaped special characters
10,en.13.10.278.2009.7.30,3300,"ParseError: not well-formed (invalid token): line 5, column 2231",1,Possible unescaped special characters
10,en.13.10.409.2009.7.28,2481,"ParseError: not well-formed (invalid token): line 5, column 1709",1,Possible unescaped special characters
10,en.13.10.76.2009.7.29,3165,"ParseError: not well-formed (invalid token): line 5, column 223",1,Possible unescaped special characters
10,en.13.10.320.2009.7.29,220,"ParseError: not well-formed (invalid token): line 3, column 81",1,Possible unescaped special characters
10,en.13.10.440.2009.7.28,243,"ParseError: not well-formed (invalid token): line 3, column 80",1,Possible unescaped special characters
100,en.15.100.187.2008.12.12,2964,"ParseError: not well-formed (invalid token): line 5, column 198",1,Possible unescaped special characters
100,en.15.100.416.2008.12.9,4489,"ParseError: not well-formed (invalid token): line 5, column 2389",1,Possible unescaped special characters
100,en.15.100.497.2008.12.13,4398,"ParseError: not well-formed (invalid token): line 5, column 2027",1,Possible unescaped special characters
100,en.15.100.8.2008.12.14,2899,"ParseError: not well-formed (invalid token): line 5, column 1433",1,Possible unescaped special characters
100,en.15.100.324.2008.12.11,4114,"ParseError: not well-formed (invalid token): line 5, column 1366",1,Possible unescaped special characters
100,en.15.100.121.2008.12.13,4704,"ParseError: not well-formed (invalid token): line 5, column 697",1,Possible unescaped special characters
100,en.15.100.70.2008.12.15,2889,"ParseError: not well-formed (invalid token): line 5, column 1489",1,Possible unescaped special characters
100,en.15.100.486.2008.12.15,4221,"ParseError: not well-formed (invalid token): line 5, column 3863",1,Possible unescaped special characters
